cod_ibge,nome,microrregiao,mesorregiao,populacao_2022,pib_mil_reais,idhm,forest_pct,temp_mean_c,precip_annual_mm,humidity_mean_pct,livability_score,rank
3531209,Monte Alegre do Sul,Amparo,Campinas,8627,304555.0000,0.7590,28.3900,19.9000,1214.0000,74.8000,0.5894,89
3515103,Embu-Guaçu,Itapecerica da Serra,Metropolitana de São Paulo,66970,1742920.0000,0.7490,60.9100,19.0000,1094.0000,83.2000,0.5872,90
3544103,Rio Grande da Serra,São Paulo,Metropolitana de São Paulo,44170,1166050.0000,0.7490,67.6500,23.0000,2689.0000,83.3000,0.5870,91
3506102,Bebedouro,Jaboticabal,Ribeirão Preto,76373,5343661.0000,0.7800,8.4600,23.1000,926.0000,65.3000,0.5862,92
3504503,Avaré,Avaré,Bauru,92805,4408538.0000,0.7670,14.0800,20.3000,1110.0000,73.5000,0.5851,93
3550902,São Simão,Ribeirão Preto,Ribeirão Preto,13442,648092.0000,0.7660,19.6800,22.2000,1050.0000,66.4000,0.5847,94
3518800,Guarulhos,Guarulhos,Metropolitana de São Paulo,1291771,97557674.0000,0.7630,37.0600,19.3000,1253.0000,80.4000,0.5846,95
3510104,Cândido Rodrigues,Jaboticabal,Ribeirão Preto,2889,157951.0000,0.7890,6.0400,23.4000,892.0000,64.0000,0.5842,96
3534302,Orlândia,São Joaquim da Barra,Ribeirão Preto,38319,3247648.0000,0.7800,7.7300,23.5000,1102.0000,63.3000,0.5830,97
3513702,Descalvado,São Carlos,Araraquara,31756,2584483.0000,0.7600,19.9800,21.4000,1019.0000,66.1000,0.5824,98
3503307,Araras,Limeira,Piracicaba,130866,10022873.0000,0.7810,9.4500,22.2000,1053.0000,68.2000,0.5801,99
3502002,Analândia,São Carlos,Araraquara,4589,266292.0000,0.7540,26.9000,21.4000,1019.0000,66.1000,0.5787,100
3541406,Presidente Prudente,Presidente Prudente,Presidente Prudente,225668,11617599.0000,0.8060,7.6800,23.9000,1163.0000,64.2000,0.5785,101
3534401,Osasco,Osasco,Metropolitana de São Paulo,728615,119404053.0000,0.7760,5.3700,19.3000,1086.0000,79.0000,0.5773,102
3511102,Catanduva,Catanduva,São José do Rio Preto,115791,7029953.0000,0.7850,7.4500,23.4000,892.0000,64.0000,0.5769,103
3527207,Lorena,Guaratinguetá,Vale do Paraíba Paulista,84855,4501318.0000,0.7660,19.7800,21.6000,1131.0000,69.3000,0.5769,104
3522604,Itapira,Mogi Mirim,Campinas,72022,6365974.0000,0.7620,13.5200,21.7000,1119.0000,67.7000,0.5764,105
